"sc-jGFFOr href","sc-s1isp7-5 src","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-1hp8d8a-0","sc-1q7bklc-1","sc-rbbb40-0","sc-1hez2tp-0 3","sc-1hez2tp-0 4","sc-s1isp7-5 src 2","sc-1hez2tp-0 5","sc-s1isp7-5 src 3","sc-1hez2tp-0 6","sc-s1isp7-5 src 4","sc-1hez2tp-0 7","sc-s1isp7-5 src 5","sc-s1isp7-5 src 6","sc-s1isp7-5 src 7","sc-jGFFOr href 2","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-1hez2tp-0 9","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-rbbb40-0 2","sc-1hez2tp-0 10","sc-1hez2tp-0 11","sc-s1isp7-5 src 9","sc-jGFFOr href 3","sc-s1isp7-5 src 10","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-rbbb40-0 3","sc-1hez2tp-0 15","sc-s1isp7-5 src 11","sc-1hez2tp-0 17","sc-s1isp7-5 src 12","sc-1hez2tp-0 18","sc-s1isp7-5 src 13","sc-1hez2tp-0 19","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-s1isp7-5 src 22","sc-1hez2tp-0 22","sc-1q7bklc-1 4","sc-rbbb40-0 4"
"https://www.zomato.com/mumbai/veg-sutra-kurla/order","https://b.zmtcdn.com/data/pictures/chains/7/49427/86fb087110b418485a385f73547248fc_o2_featured_v2.jpg","50% OFF up to 100","30 min","Veg Sutra","4.1","star-fill","North Indian, Chinese","₹200 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","5700+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","5700+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/eatfit-1-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/7/19129517/7b70497ef78d0f1d90686c1d44db1ed1_o2_featured_v2.jpg","40% OFF","23 min","EatFit","3.8","star-fill","Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages","₹200 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/good-flippin-burgers-bandra-kurla-complex/order","https://b.zmtcdn.com/data/pictures/chains/8/19135228/0b2cd02883891943a822dc6beed1d020_o2_featured_v2.jpg","50% OFF up to 100","27 min","Good Flippin' Burgers","4.4","star-fill","Burger, Fast Food, American","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","2100+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2100+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","","","","","",""
"https://www.zomato.com/mumbai/guru-kripa-sion/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","33 min","Guru Kripa","4.3","star-fill","South Indian, Sandwich, Rolls, Fast Food, Street Food, Mithai, Beverages","₹200 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","29050+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","29050+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/dominos-pizza-bandra-east/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","25 min","Domino's Pizza","3.6","star-fill","Pizza, Italian, Pasta, Fast Food, Desserts","₹200 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/merwans-cake-stop-kurla/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","26 min","Merwans Cake Stop","4.3","star-fill","Bakery, Fast Food, Desserts","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","4275+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","4275+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","3750+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","",""
"https://www.zomato.com/mumbai/big-bowl-santacruz-east/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","29 min","Big Bowl","3.7","star-fill","Chinese, North Indian, Momos","₹200 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2150+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2150+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/food-king-kurla/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","28 min","Food King","3.7","star-fill","Chinese, North Indian, Mughlai, Seafood, Biryani, Beverages, BBQ, Sichuan","₹200 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/persian-darbar-3-kurla/order","","50% OFF up to 100","37 min","Persian Darbar","3.9","star-fill","Biryani, North Indian, Chinese, Mughlai, Kebab, Parsi, Seafood, Desserts","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","6175+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","6175+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2050+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Pro extra 20% OFF","",""
"https://www.zomato.com/mumbai/meal-bowl-kurla/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","32 min","Meal Bowl","4.1","star-fill","North Indian, Chinese, Desserts, Sichuan","₹200 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/pizza-hut-2-bandra-kurla-complex/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","24 min","Pizza Hut","3.7","star-fill","Pizza, Fast Food, Desserts, Beverages","₹200 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/great-indian-khichdi-by-eatfit-santacruz-east/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","20 min","Great Indian Khichdi by EatFit","4.1","star-fill","Healthy Food, North Indian, Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2075+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","3650+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","","",""
"https://www.zomato.com/mumbai/theobroma-bandra-kurla-complex/order","https://b.zmtcdn.com/data/pictures/chains/7/34407/bae530041578e324be353b83cadff743_o2_featured_v2.jpg","50% OFF up to 100","13 min","Theobroma","4.3","star-fill","Bakery, Desserts, Beverages","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","5750+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","5750+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bismillah-catering-chembur/order","https://b.zmtcdn.com/data/pictures/6/18771496/00c3c64d9a84ca968bb4b9d21f527aa7_o2_featured_v2.jpg","50% OFF up to 100","39 min","Bismillah Catering","","","Biryani, Lebanese, Mughlai","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/thepla-house-by-tejals-kitchen-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/4/18715674/709e3f66c5fe07452226dd2fe56b6f57_o2_featured_v2.jpg","50% OFF up to 100","40 min","Thepla House By Tejal's Kitchen","4.2","star-fill","Gujarati, Rajasthani, North Indian, South Indian, Street Food","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","6600+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","6600+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","800+ orders placed from here recently","","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","3.4","star-fill"
"https://www.zomato.com/mumbai/bake-ur-day-kurla/order","https://b.zmtcdn.com/data/pictures/chains/2/16529642/871d7282b7a07b3124784f015a37545c_o2_featured_v2.jpg","50% OFF up to 100","26 min","Bake Ur Day","4.2","star-fill","Bakery","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","4650+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","4650+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/hare-krishna-santacruz-east/order","https://b.zmtcdn.com/data/pictures/3/18351623/b7f8ec9114c2373974fb16f03e8b8183_o2_featured_v2.jpg","50% OFF up to 100","25 min","Hare Krishna","3.9","star-fill","South Indian, Continental, North Indian, Asian, Biryani, Desserts, Beverages, Shake","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/behrouz-biryani-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/1/18368221/7d1d6155fa28b3864c1f71342eea8b1c_o2_featured_v2.jpg","50% OFF up to 100","26 min","Behrouz Biryani","3.9","star-fill","Biryani, Kebab, Hyderabadi, Lucknowi","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","1700+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","1700+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","","","","","",""
"https://www.zomato.com/mumbai/starbucks-coffee-1-bandra-kurla-complex/order","https://b.zmtcdn.com/data/pictures/chains/0/37750/fecf7e912cb21ae5c71ea1bfb4f63360_o2_featured_v2.jpg","50% OFF up to 100","14 min","Starbucks Coffee","4.1","star-fill","Cafe, Beverages, Desserts","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","2250+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2250+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/faasos-wraps-rolls-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/4/43344/224cde6e4ca8d94ba10f78aaabd0d225_o2_featured_v2.jpg","50% OFF up to 100","27 min","Faasos - Wraps & Rolls","3.9","star-fill","Rolls, Fast Food, Wraps, Desserts","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/thambbi-kurla/order","","50% OFF up to 100","47 min","Thambbi","3.9","star-fill","South Indian, Beverages","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","3275+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","3275+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2150+ orders placed from here recently","https://b.zmtcdn.com/data/pictures/chains/6/32806/c78f56dc5730c9d2d290b7ce63195224_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","",""
"https://www.zomato.com/capitalsocial/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","28 min","Capital Social","4.1","star-fill","North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Kebab","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2100+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2100+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/kfc-1-kurla/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","39 min","KFC","3.7","star-fill","Burger, Fast Food, Biryani, Beverages, Desserts","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/charcoal-eats-biryani-beyond-santacruz-east/order","","50% OFF up to 100","31 min","Charcoal Eats - Biryani & Beyond","4.0","star-fill","Biryani, Kebab, Rolls","","1575+ orders placed from here recently","","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","","",""
"https://www.zomato.com/brijwasisweetsbkc/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","25 min","Brijwasi Sweets Original Since 1946","4.2","star-fill","Mithai, Street Food, Fast Food, Desserts","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","1525+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","1525+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/the-dessert-heaven-pure-veg-marol/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","67 min","The Dessert Heaven - Pure Veg","3.9","star-fill","Bakery, Desserts","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/deepak-farsan-mart-kurla/order","","50% OFF up to 100","33 min","Deepak Farsan Mart","4.2","star-fill","Mithai, Street Food","","825+ orders placed from here recently","","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","","",""
"https://www.zomato.com/mumbai/la-pinoz-pizza-sion/order","https://b.zmtcdn.com/data/pictures/chains/2/18796372/0216a546d44b0225ce89ae448a1dffa0_o2_featured_v2.jpg","50% OFF up to 100","34 min","La Pino'z Pizza","4.1","star-fill","Pizza, Italian, Pasta, Fast Food, Beverages, Desserts","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","6100+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","6100+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/dabba-garam-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/6/18568586/d65fb09303309b6cd487316ba7aaaebb_o2_featured_v2.jpg","30% OFF","32 min","Dabba Garam","3.8","star-fill","North Indian, Street Food","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/the-belgian-waffle-co-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/3/18140523/64e328ee2b6fe4d82aa36f2f5213f737_o2_featured_v2.jpg","50% OFF up to 100","30 min","The Belgian Waffle Co.","4.2","star-fill","Waffle, Pancake, Desserts, Beverages, Ice Cream","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","3125+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","3125+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","","","","","","Pro extra 10% OFF","",""
"https://www.zomato.com/mumbai/natural-ice-cream-chembur/order","https://b.zmtcdn.com/data/pictures/chains/9/18181859/67b0460675d4d07e6180defe10ef1676_o2_featured_v2.jpg","50% OFF up to 100","40 min","Natural Ice Cream","4.5","star-fill","Ice Cream, Desserts, Beverages","₹150 for one","","3425+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","3425+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/box8-desi-meals-1-santacruz-east/order","https://b.zmtcdn.com/data/pictures/chains/0/35240/b25ba004748fe5420c4b75567c0f9ddc_o2_featured_v2.jpg","30% OFF","30 min","BOX8 - Desi Meals","4.2","star-fill","North Indian, Biryani, Fast Food, Wraps, Ice Cream, Desserts, Beverages","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/sbarro-new-york-pizza-sion/order","","50% OFF up to 100","38 min","Sbarro - New York Pizza","3.6","star-fill","Pizza, Fast Food, Italian","","3125+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","3125+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","","https://b.zmtcdn.com/data/pictures/chains/4/43984/97293d96278f57d63c60822cbba7fe6c_o2_featured_v2.jpg","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","",""
"https://www.zomato.com/mumbai/wow-momo-1-sion/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","37 min","WOW! Momo","3.9","star-fill","Momos, Fast Food","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/pizza-caprina-marol/order","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","50% OFF up to 100","45 min","Pizza Caprina","3.7","star-fill","Pizza, Pasta, Sandwich, Fast Food, Salad","₹150 for one","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/starboy-pizza-shakes-marol/order","","50% OFF up to 100","49 min","Starboy Pizza & Shakes","3.6","star-fill","Pizza, Italian, Desserts, Shake, Beverages","","8750+ orders placed from here recently","","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","8750+ orders placed from here recently","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants","","Pro extra 15% OFF","",""
